1	鴇色	ときいろ	Hermosa Pink	0	30	6	0
2	肉色	にくいろ	Corinthian Pink	0	35	15	0
3	一斤染	いっこんぞめ	Cameo Pink	10	32	19	0
4	桜鼠	さくらねずみ	Fawn	18	31	30	0
5	梅鼠	うめねず	Light Brown Drab	8	30	20	25
6	珊瑚珠色	さんごしゅいろ	Coral Red	0	55	40	0
7	柿色	かきいろ	Fresh Color	0	53	45	0
8	洗朱	あらいしゅ	Grenadine Pink	0	62	58	0
9	浅紅	うすくれない	Eosine Pink	0	63	23	0
10	紅梅色	こうばいいろ	Spinel Red	0	70	21	0
11	長春色	ちょうしゅんいろ	Old Rose	15	70	40	0
12	緋褪色	ひざめいろ	Eugenia Red	7	76	60	0
13	浅緋	うすひ	Eugenia Red	0	80	50	10
14	檜皮色	ひわだいろ	Raw Sienna	18	58	100	12
15	柿渋色	かきしぶいろ	Vinaceous Tawny	17	72	100	6
16	紅柿色	べにがきいろ	Jasper Red	2	83	100	0
17	赤色	あかいろ	Spectrum Red	5	100	100	0
18	朱色	しゅいろ	Red Orange	9	90	100	0
19	雀茶	すずめちゃ	Etruscan Red	16	80	74	6
20	栗梅	くりうめ	Burnt Sienna	22	76	100	15
21	小豆茶	あずきちゃ	Ocher Red	18	73	63	20
22	紅	くれない	Scarlet	10	95	72	7
23	臙脂色	えんじいろ	Carmine	0	100	75	16
24	浅蘇芳	うすすおう	Indian Lake	12	89	35	9
25	牡丹色	ぼたんいろ	Rosolane Purple	30	90	33	0
26	苺色	いちごいろ	Pomegranate Purple	23	100	50	6
27	小豆色	あずきいろ	Hydrangea Red	38	90	70	0
28	柿色	かきいろ	Brick Red	22	84	100	18
29	紅色	べにいろ	Carmine Red	25	95	80	16
30	紅樺色	べにかばいろ	Pompeian Red	18	97	74	19
31	茜色	あかねいろ	Red	30	100	70	10
32	鳶茶色	とびちゃいろ	Brown	35	74	90	35
33	鳶色	とびいろ	Hay's Russet	37	85	87	35
34	紅海老茶	べにえびちゃ	Vandyke Red	32	95	95	33
35	蘇芳色	すおういろ	Pansy Purple	34	100	60	34
36	海老茶色	えびちゃいろ	Pale Burnt Lake	25	90	80	40
37	京紫	きょうむらさき	Violet Red	75	100	50	5
38	栗皮色	くりかわいろ	Vistoris Lake	40	71	55	40
39	蒸栗色	むしくりいろ	Sulphur Yellow	4	4	28	0
40	淡卵色	うすたまごいろ	Pale Lemon Yellow	0	4	38	0
41	淡黄蘗	うすきはだ	Naples Yellow	2	7	44	0
42	白茶	しらちゃ	Ivory Buff	8	15	40	0
43	肌色	はだいろ	Seashell Pink	0	19	23	0
44	淡香色	うすこういろ	Light Pinkish Cinnamon	0	25	40	0
45	砥粉色	とのこいろ	Pinkish Cinnamon	5	32	53	0
46	玉蜀黍色	とうもろこしいろ	Cinnamon Buff	0	25	57	0
47	卵色	たまごいろ	Cream Yellow	0	28	68	0
48	金茶	きんちゃ	Golden Yellow	2	42	74	0
49	香色	こういろ	Vinaceous Cinnamon	4	40	42	0
50	欵冬色	ふきいろ	Ochraceous Salmon	15	38	55	0
51	落葉色	おちばいろ	Isabella Color	15	28	60	10
52	幹色	みきいろ	Maple	5	26	56	20
53	桑色白茶	くわいろしらちゃ	Olive Buff	16	6	42	12
54	灰汁色	あくいろ	Ecru	20	25	40	6
55	黄色	きいろ	Yellow	0	0	100	0
56	金絲雀色	かなりやいろ	Lemon Yellow	5	0	85	0
57	鬱金色	うこんいろ	Apricot Yellow	0	10	100	0
58	淡青朽葉	うすあおくちば	Pyrite Yellow	23	25	80	0
59	油色	あぶらいろ	Olive Ocher	18	26	90	0
60	山吹茶	やまぶきちゃ	Yellow Ocher	12	28	88	0
61	山吹色	やまぶきいろ	Orange Yellow	0	33	100	0
62	柑子色	こうじいろ	Yellow Orange	0	45	100	0
63	深支子	こきくちなし	Apricot Orange	0	55	75	0
64	橙色	とうしょく	Orange	0	68	100	0
65	杏色	あんずいろ	Peach Red	0	80	90	0
66	蒲色	かばいろ	English Red	13	73	100	0
67	代赭色	たいしゃいろ	Cinnamon Rufous	20	60	82	5
68	飴色	あめいろ	Orange Rufous	18	65	100	8
69	黄蘗色	きはだいろ	Sulphine Yellow	24	32	100	4
70	黄茶	きちゃ	Khaki	24	45	100	6
71	菜種油色	なたねいろ	Citron Yellow	35	17	95	0
72	青朽葉	あおくちば	Citrine	36	32	100	7
73	黄海松茶	きみるちゃ	Buffy Citrine	42	40	82	8
74	路考茶	ろこうちゃ	Dark Citrine	38	34	67	20
75	利久茶	りきゅうちゃ	Light Grayish Olive	43	36	62	19
76	鶯色	うぐいすいろ	Kronbergs Green	48	35	70	12
77	橄欖色	オリーブ	Olive	48	38	100	15
